CPU: ID 0x906c0, Processor Type 0x0, Family 0x6, Model 0x9c, Stepping 0x0
Northbridge: 8086:4e24 (unknown)
Southbridge: 8086:4d87 (Jasper Lake)
IGD: 8086:4e61 (unknown)
SBREG_BAR = 0xfd000000 (MEM)


============= GPIOS =============

------- GPIO Community 0 -------

PCR Port ID: 0x690000

0x08d0: 0x0000003d44000300 GPP_D21      GPIO                
0x08e0: 0x0000003e44000300 GPP_D22      GPIO                
0x08f0: 0x0000003f44000300 GPP_D23      GPIO                
0x0900: 0x0000000040000700 GSPI2_CLK_LOOPBK GSPI2_CLK_LOOPBK    
0x0910: 0x0000000040000700 SPI1_CLK_LOOPBK SPI1_CLK_LOOPBK     
------- GPIO Group VGPIO -------
0x0920: 0x0000000040000200 VGPIO0       GPIO                
0x0930: 0x0000000040000003 VGPIO3       GPIO                
0x0940: 0x0000005844000102 VGPIO4       GPIO                
0x0950: 0x0000000040000003 VGPIO5       GPIO                
0x0960: 0x0000000040000402 VGPIO6       VGPIO6              
0x0970: 0x0000000040000400 VGPIO7       VGPIO7              
0x0980: 0x0000000040000400 VGPIO8       VGPIO8              
0x0990: 0x0000000040000402 VGPIO9       VGPIO9              
0x09a0: 0x0000000040000402 VGPIO10      VGPIO10             
0x09b0: 0x0000000040000400 VGPIO11      VGPIO11             
0x09c0: 0x0000000040000400 VGPIO12      VGPIO12             
0x09d0: 0x0000000040000402 VGPIO13      VGPIO13             
0x09e0: 0x0000000040000402 VGPIO18      VGPIO18             
0x09f0: 0x0000000040000400 VGPIO19      VGPIO19             
0x0a00: 0x0000000040000400 VGPIO20      VGPIO20             
0x0a10: 0x0000000040000402 VGPIO21      VGPIO21             
0x0a20: 0x0000000040000402 VGPIO22      VGPIO22             
0x0a30: 0x0000000040000400 VGPIO23      VGPIO23             
0x0a40: 0x0000000040000400 VGPIO24      VGPIO24             
0x0a50: 0x0000000040000402 VGPIO25      VGPIO25             
0x0a60: 0x0000000040000400 VGPIO30      VGPIO30             
0x0a70: 0x0000000040000400 VGPIO31      VGPIO31             
0x0a80: 0x0000000040000400 VGPIO32      VGPIO32             
0x0a90: 0x0000000040000400 VGPIO33      VGPIO33             
0x0aa0: 0x0000000040000400 VGPIO34      VGPIO34             
0x0ab0: 0x0000000040000400 VGPIO35      VGPIO35             
0x0ac0: 0x0000000040000400 VGPIO36      VGPIO36             
0x0ad0: 0x0000000040000400 VGPIO37      VGPIO37             
0x0ae0: 0x0000005944000000 VGPIO39      GPIO                
------- GPIO Group GPP_C -------
0x0af0: 0x0000005a44000300 GPP_C00      GPIO                
0x0b00: 0x0000005b44000300 GPP_C01      GPIO                
0x0b10: 0x0000005c44000300 GPP_C02      GPIO                
0x0b20: 0x0000005d44000102 GPP_C03      GPIO                
0x0b30: 0x0000005e84000201 GPP_C04      GPIO                
0x0b40: 0x0000005f84000201 GPP_C05      GPIO                
0x0b50: 0x0000006044000102 GPP_C06      GPIO                
0x0b60: 0x0000006144000201 GPP_C07      GPIO                
0x0b70: 0x0000006284000201 GPP_C08      GPIO                
0x0b80: 0x0000006384000201 GPP_C09      GPIO                
0x0b90: 0x0000006444000300 GPP_C10      GPIO                
0x0ba0: 0x0000006584000201 GPP_C11      GPIO                
0x0bb0: 0x0000006682900102 GPP_C12      GPIO                
0x0bc0: 0x0000006744000300 GPP_C13      GPIO                
0x0bd0: 0x0000006844000201 GPP_C14      GPIO                
0x0be0: 0x0000006940900102 GPP_C15      GPIO                
0x0bf0: 0x0000006a44000300 GPP_C16      GPIO                
0x0c00: 0x0000006b44000300 GPP_C17      GPIO                
0x0c10: 0x0000006c84000201 GPP_C18      GPIO                
0x0c20: 0x0000006d84000201 GPP_C19      GPIO                
0x0c30: 0x0000006e44000300 GPP_C20      GPIO                
0x0c40: 0x0000006f44000300 GPP_C21      GPIO                
0x0c50: 0x0000007044000300 GPP_C22      GPIO                
0x0c60: 0x0000007144000300 GPP_C23      GPIO                
------- GPIO Community 5 -------

PCR Port ID: 0x6e0000

------- GPIO Group GPP_F -------
0x0600: 0x0000004044000300 GPP_F00      GPIO                
0x0610: 0x0000004144000300 GPP_F01      GPIO                
0x0620: 0x0000004244000300 GPP_F02      GPIO                
0x0630: 0x0000004344000300 GPP_F03      GPIO                
0x0640: 0x0000004440880100 GPP_F04      GPIO                
0x0650: 0x0000004544000300 GPP_F05      GPIO                
0x0660: 0x0000004644000300 GPP_F06      GPIO                
0x0670: 0x0000004744000300 GPP_F07      GPIO                
0x0680: 0x0000004844000300 GPP_F08      GPIO                
0x0690: 0x0000004944000300 GPP_F09      GPIO                
0x06a0: 0x0000004a44000300 GPP_F10      GPIO                
0x06b0: 0x0000004b44000300 GPP_F11      GPIO                
0x06c0: 0x0000004c44000300 GPP_F12      GPIO                
0x06d0: 0x0000004d44000300 GPP_F13      GPIO                
0x06e0: 0x0000004e44000300 GPP_F14      GPIO                
0x06f0: 0x0000004f44000300 GPP_F15      GPIO                
0x0700: 0x0000005044000300 GPP_F16      GPIO                
0x0710: 0x0000005144000300 GPP_F17      GPIO                
0x0720: 0x0000005244000300 GPP_F18      GPIO                
0x0730: 0x0000005344000300 GPP_F19      GPIO                
------- GPIO Group SPI -------
0x0740: 0x00003c0040000700 SPI0_IO_2    SPI0_IO_2           
0x0750: 0x00003c0040000700 SPI0_IO_3    SPI0_IO_3           
0x0760: 0x00003c0040000700 SPI0_MOSI_IO_0 SPI0_MOSI_IO_0      
0x0770: 0x00003c0040000700 SPI0_MISO_IO_0 SPI0_MISO_IO_0      
0x0780: 0x00003c0040000700 SPI0_TPM_CSB SPI0_TPM_CSB        
0x0790: 0x00003c0040000700 SPI0_FLASH_0_CSB SPI0_FLASH_0_CSB    
0x07a0: 0x00003c0040000700 SPI0_FLASH_1_CSB SPI0_FLASH_1_CSB    
0x07b0: 0x00003c0040000700 SPI0_CLK     SPI0_CLK            
0x07c0: 0x0000000040000700 SPI0_CLK_LOOPBK SPI0_CLK_LOOPBK     
------- GPIO Group GPP_B -------
0x07d0: 0x0000002044000700 GPP_B00      PMC_CORE_VID0       
0x07e0: 0x0000002144000700 GPP_B01      PMC_CORE_VID1       
0x07f0: 0x0000002244000300 GPP_B02      GPIO                
0x0800: 0x0000002380900102 GPP_B03      GPIO                
0x0810: 0x0000002484000102 GPP_B04      GPIO                
0x0820: 0x0000002544000300 GPP_B05      GPIO                
0x0830: 0x0000002644000300 GPP_B06      GPIO                
0x0840: 0x0000002744000300 GPP_B07      GPIO                
0x0850: 0x0000002844000300 GPP_B08      GPIO                
0x0860: 0x0000002944000300 GPP_B09      GPIO                
0x0870: 0x0000002a84000201 GPP_B10      GPIO                
0x0880: 0x0000002b04000702 GPP_B11      PMCALERT_N          
0x0890: 0x0000002c44000700 GPP_B12      PMC_SLP_S0_N        
0x08a0: 0x0000002d44000700 GPP_B13      PMC_PLTRST_N        
0x08b0: 0x0000002e44000600 GPP_B14      SPKR                
0x08c0: 0x0000002f40900102 GPP_B15      GPIO                
0x08d0: 0x0000003084000201 GPP_B16      GPIO                
0x08e0: 0x0000003184000201 GPP_B17      GPIO                
0x08f0: 0x0000003284000200 GPP_B18      GPIO                
0x0900: 0x0000003344000300 GPP_B19      GPIO                
0x0910: 0x0000003444000300 GPP_B20      GPIO                
0x0920: 0x0000003544000300 GPP_B21      GPIO                
0x0930: 0x0000003644000200 GPP_B22      GPIO                
0x0940: 0x0000003744000600 GPP_B23      DDI2_HPD            
0x0950: 0x0000000040000700 GSPI0_CLK_LOOPBK GSPI0_CLK_LOOPBK    
0x0960: 0x0000000040000700 GSPI1_CLK_LOOPBK GSPI1_CLK_LOOPBK    
------- GPIO Group GPP_A -------
0x0970: 0x0000303844000700 GPP_A00      ESPI_IO_0           
0x0980: 0x0000303944000702 GPP_A01      ESPI_IO_1           
0x0990: 0x0000303a44000700 GPP_A02      ESPI_IO_2           
0x09a0: 0x0000303b44000700 GPP_A03      ESPI_IO_3           
0x09b0: 0x0000303c44000700 GPP_A04      ESPI_CS_N           
0x09c0: 0x0000103d44000700 GPP_A05      ESPI_CLK            
0x09d0: 0x0000003e44000700 GPP_A06      ESPI_RESET_N        
0x09e0: 0x0000003f44000702 GPP_A07      SMB_CLK             
0x09f0: 0x0000004044000702 GPP_A08      SMB_DATA            
